Country,Interest
Poland,100
Hungary,95
Denmark,91
Czechia,91
Netherlands,77
Australia,71
Germany,68
Slovakia,67
United Kingdom,67
Isle of Man,
New Zealand,63
Switzerland,60
Belgium,57
Guernsey,
Liechtenstein,
Austria,53
Sweden,53
Norway,53
Canada,52
San Marino,
Gibraltar,
St. Pierre & Miquelon,
Slovenia,49
Ireland,48
Falkland Islands (Islas Malvinas),
Jersey,
Finland,47
Luxembourg,
Faroe Islands,
Romania,44
France,44
Estonia,
Iceland,
Åland Islands,
Lithuania,41
United States,41
Latvia,
Singapore,35
Hong Kong,34
Macao,
Italy,33
Croatia,32
Portugal,30
Brunei,
Malta,
Svalbard & Jan Mayen,
Greenland,
Puerto Rico,
Mexico,25
Andorra,
Spain,25
St. Helena,
Greece,23
Guam,
Serbia,22
New Caledonia,
Bermuda,
Chile,19
Réunion,
Caribbean Netherlands,
Montserrat,
Costa Rica,
Cayman Islands,
Bulgaria,18
Moldova,
United Arab Emirates,17
Malaysia,17
São Tomé & Príncipe,
Cyprus,
Cook Islands,
South Africa,17
Curaçao,
French Polynesia,
Aruba,
St. Martin,
Maldives,
St. Kitts & Nevis,
Northern Mariana Islands,
French Guiana,
Seychelles,
Bolivia,
Türkiye,16
Barbados,
Sint Maarten,
Peru,15
U.S. Virgin Islands,
British Virgin Islands,
Turks & Caicos Islands,
Myanmar (Burma),
Vietnam,14
Antigua & Barbuda,
Israel,14
Panama,
Bosnia & Herzegovina,
Trinidad & Tobago,
Brazil,13
Guatemala,
Qatar,
Ukraine,13
Vanuatu,
Cuba,
Palau,
Bahrain,
Martinique,
Belize,
Guadeloupe,
Kuwait,
El Salvador,
Philippines,11
Montenegro,
Mongolia,
Colombia,11
Russia,11
North Macedonia,
Cape Verde,
Angola,
Honduras,
Grenada,
Bahamas,
Mayotte,
St. Lucia,
St. Barthélemy,
Lebanon,
Mauritius,
Dominica,
Belarus,
Indonesia,10
China,
Venezuela,9
Suriname,
Uruguay,
Taiwan,9
Madagascar,
Ecuador,
Argentina,8
Guyana,
Armenia,
Laos,
Marshall Islands,
St. Vincent & Grenadines,
Georgia,
Paraguay,
Eritrea,
Namibia,
Solomon Islands,
Djibouti,
Tonga,
South Korea,7
Sri Lanka,
Fiji,
Albania,
Azerbaijan,
Nicaragua,
American Samoa,
Micronesia,
Jamaica,
Gabon,
Turkmenistan,
Dominican Republic,
Kosovo,
Kazakhstan,
Cambodia,
Equatorial Guinea,
Samoa,
Congo - Brazzaville,
Botswana,
Bhutan,
Oman,
Thailand,6
Papua New Guinea,
Palestine,
Zimbabwe,
Eswatini,
Tunisia,
Mozambique,
Jordan,
Togo,
Timor-Leste,
Uzbekistan,
Morocco,
Saudi Arabia,
Iraq,
Malawi,
Kyrgyzstan,
Pakistan,
Egypt,
Gambia,
Ethiopia,
Niger,
Senegal,
Côte d’Ivoire,
Algeria,
Zambia,
Ghana,
Comoros,
Lesotho,
Rwanda,
Mauritania,
Benin,
Kenya,
Libya,
Japan,3
Iran,3
Sierra Leone,
Bangladesh,
Haiti,
Tajikistan,
Mali,
Western Sahara,
Nigeria,
Congo - Kinshasa,
Nepal,
Chad,
Cameroon,
Afghanistan,
India,2
Uganda,
Liberia,
Somalia,
Syria,
Central African Republic,
Guinea-Bissau,
Sudan,
Burundi,
Guinea,
Burkina Faso,
Tanzania,
Yemen,
South Sudan,
Niue,
Monaco,
Nauru,
U.S. Outlying Islands,
Tuvalu,
Antarctica,
Pitcairn Islands,
Vatican City,
French Southern Territories,
British Indian Ocean Territory,
Tokelau,
North Korea,
Anguilla,
Heard & McDonald Islands,
Wallis & Futuna,
Bouvet Island,
Kiribati,
Cocos (Keeling) Islands,
South Georgia & South Sandwich Islands,
Norfolk Island,
Christmas Island,
